,accession,start,end,strand,gene_name,gene_name_2,gene_product,COG,uniprot,operon,regulator
bll5809,BA000040.2,6375374,6376453,-,flhB,flhB,flagellar biosynthesis protein FlhB,Cell motility,Q89I30,Op3741,
bll5810,BA000040.2,6376461,6377231,-,fliR,fliR,flagellar biosynthetic protein FliR,Cell motility,Q89I29,Op3741,
bll5812,BA000040.2,6377630,6377938,-,fliE,fliE,flagellar hook-basal body complex protein FliE,Cell motility,Q89I27,Op3741,
bll5813,BA000040.2,6377955,6378380,-,flgC,flgC,flagellar basal body rod protein FlgC,Cell motility,Q89I26,Op3741,
bll5814,BA000040.2,6378420,6378824,-,flgB,flgB,flagellar basal body rod protein FlgB,Cell motility,Q89I25,Op3741,
bll5817,BA000040.2,6380960,6384748,-,bll5817,AAV28_RS26010,hypothetical protein,Function unknown,,Op3743,
bll5818,BA000040.2,6385001,6385924,-,bll5818,AAV28_RS26015,tetratricopeptide repeat protein,"Intracellular trafficking, secretion, and vesicular transport",,Op3744,
bll5819,BA000040.2,6385918,6386574,-,bll5819,AAV28_RS26020,FecR family protein,Function unknown,Q89I20,Op3745,
bll5822,BA000040.2,6392784,6393188,-,bll5822,,,No COG annotation,,-,
bll5823,BA000040.2,6393112,6393873,-,bll5823,AAV28_RS26035,hypothetical protein,Function unknown,Q89I16,Op3748,
bll5824,BA000040.2,6393884,6394330,-,bll5824,AAV28_RS26040,DUF6468 domain-containing protein,No COG annotation,Q89I15,Op3748,
bll5825,BA000040.2,6394327,6395529,-,fliM,fliM,flagellar motor switch protein FliM,Cell motility,Q89I14,Op3748,
bll5826,BA000040.2,6395559,6396059,-,fliL,fliL,flagellar basal body-associated protein FliL,Cell motility,Q89I13,Op3748,
bll5831,BA000040.2,6400208,6400987,-,bll5831,AAV28_RS26075,fumarylacetoacetate hydrolase family protein,"Secondary metabolites biosynthesis, transport, and catabolism",Q89I08,Op3750,
bll5833,BA000040.2,6401096,6402124,-,bll5833,AAV28_RS26080,aldehyde reductase,Carbohydrate transport and metabolism,Q89I07,Op3751,
bll5834,BA000040.2,6402900,6403265,-,dksA,dksA,RNA polymerase-binding protein DksA,Signal transduction mechanisms,,Op3753,
bll5835,BA000040.2,6403481,6404092,-,bll5835,AAV28_RS26095,NAD(P)-dependent oxidoreductase,Function unknown,Q89I04,Op3754,
bll5837,BA000040.2,6404769,6405182,-,fliX,AAV28_RS26105,flagellar assembly protein FliX,Cell motility,Q89I02,Op3756,
bll5842,BA000040.2,6408177,6408545,-,flaF,flaF,flagellar biosynthesis regulator FlaF,Cell motility,Q89HZ7,Op3759,FixK2
bll5843,BA000040.2,6408840,6411131,-,bll5843,AAV28_RS26135,DUF1522 domain-containing protein,Cell motility,Q89HZ6,Op3760,
bll5844,BA000040.2,6411349,6413622,-,bll5844,AAV28_RS26140,DUF1522 domain-containing protein,Cell motility,Q89HZ5,Op3761,
bll5845,BA000040.2,6413947,6416220,-,bll5845,AAV28_RS26145,DUF1522 domain-containing protein,Cell motility,Q89HZ4,Op3762,
bll5846,BA000040.2,6416578,6418851,-,bll5846,AAV28_RS26150,DUF1522 domain-containing protein,Cell motility,Q89HZ3,Op3763,
bll5848,BA000040.2,6419716,6421215,-,bll5848,AAV28_RS26160,aspartate aminotransferase family protein,Amino acid transport and metabolism,Q89HZ1,Op3765,
bll5849,BA000040.2,6421212,6422507,-,bll5849,AAV28_RS26165,hypothetical protein,Coenzyme transport and metabolism,,Op3765,
bll5850,BA000040.2,6422467,6424179,-,bll5850,AAV28_RS26170,hypothetical protein,Amino acid transport and metabolism,,Op3765,
bll5851,BA000040.2,6424100,6424882,-,bll5851,AAV28_RS26175,hypothetical protein,Function unknown,Q89HY8,Op3765,
bll5852,BA000040.2,6424954,6426837,-,bll5852,AAV28_RS26180,flagellar protein,Cell motility,Q89HY7,Op3766,
bll5853,BA000040.2,6426859,6428742,-,flgK,flgK,flagellar hook-associated protein FlgK,Cell motility,Q89HY6,Op3766,
bll5854,BA000040.2,6428777,6431041,-,bll5854,AAV28_RS26190,flagellar hook-basal body complex protein,Cell motility,Q89HY5,Op3766,
bll5855,BA000040.2,6431312,6431848,-,msrB,msrB,peptide-methionine (R)-S-oxide reductase MsrB,"Post-translational modification, protein turnover, and chaperones",,Op3767,
bll5856,BA000040.2,6431908,6433365,-,bll5856,AAV28_RS26200,FAD-binding oxidoreductase,Amino acid transport and metabolism,Q89HY3,Op3768,
bll5859,BA000040.2,6435327,6435638,-,bll5859,AAV28_RS26215,DUF1127 domain-containing protein,Function unknown,,Op3771,blr5860
bll5861,BA000040.2,6437162,6437785,-,bll5861,AAV28_RS26225,YdcF family protein,Function unknown,,Op3773,
bll5862,BA000040.2,6437824,6438411,-,bll5862,AAV28_RS26230,hypothetical protein,No COG annotation,Q89HX7,Op3774,
bll5864,BA000040.2,6438943,6441342,-,bll5864,AAV28_RS26240,EAL domain-containing protein,Signal transduction mechanisms,Q89HX5,Op3776,
bll5865,BA000040.2,6441456,6442865,-,bll5865,AAV28_RS26245,MFS transporter,Amino acid transport and metabolism,Q89HX4,Op3777,
bll5866,BA000040.2,6443077,6443583,-,bll5866,AAV28_RS26250,ferritin-like domain-containing protein,Function unknown,Q89HX3,Op3778,
bll5875,BA000040.2,6455425,6456165,-,bll5875,AAV28_RS26295,hypothetical protein,No COG annotation,Q89HW4,Op3785,
bll5876,BA000040.2,6456171,6457205,-,bll5876,AAV28_RS26300,MipA/OmpV family protein,Cell wall/membrane/envelope biogenesis,,Op3785,
bll5880,BA000040.2,6460082,6460636,-,bll5880,,,No COG annotation,,-,
bll5882,BA000040.2,6462231,6462854,-,bll5882,AAV28_RS26330,DUF2147 domain-containing protein,Function unknown,,Op3791,
bll5883,BA000040.2,6462952,6463980,-,bll5883,AAV28_RS26335,NAD(P)/FAD-dependent oxidoreductase,Energy production and conversion,Q89HV6,Op3792,
bll5885,BA000040.2,6464645,6464965,-,fdx,AAV28_RS26345,(2Fe-2S)-binding protein,Energy production and conversion,Q89HV4,Op3794,
bll5886,BA000040.2,6465136,6465510,-,bll5886,AAV28_RS26350,Hpt domain-containing protein,Signal transduction mechanisms,Q89HV3,Op3795,
bll5888,BA000040.2,6471691,6472344,-,bll5888,AAV28_RS26360,response regulator transcription factor,Signal transduction mechanisms,Q89HV1,Op3797,
bll5889,BA000040.2,6472341,6475913,-,bll5889,,,Signal transduction mechanisms,,-,
bll5890,BA000040.2,6476040,6477530,-,bll5890,AAV28_RS26370,sodium:solute symporter,Amino acid transport and metabolism,Q89HU9,Op3798,
bll5892,BA000040.2,6477922,6478800,-,bll5892,AAV28_RS26375,MlaD family protein,"Secondary metabolites biosynthesis, transport, and catabolism",Q89HU7,Op3799,
bll5893,BA000040.2,6478820,6479608,-,bll5893,AAV28_RS26380,ABC transporter ATP-binding protein,"Secondary metabolites biosynthesis, transport, and catabolism",,Op3799,
bll5894,BA000040.2,6479605,6480708,-,bll5894,AAV28_RS26385,ABC transporter permease,"Secondary metabolites biosynthesis, transport, and catabolism",,Op3799,
bll5896,BA000040.2,6481838,6483034,-,bll5896,AAV28_RS26395,MFS transporter,Amino acid transport and metabolism,Q89HU3,Op3801,
bll5898,BA000040.2,6484548,6485318,-,bll5898,AAV28_RS26405,SDR family oxidoreductase,Lipid transport and metabolism,Q89HU1,Op3803,
bll5899,BA000040.2,6485485,6485880,-,bll5899,AAV28_RS26410,hypothetical protein,No COG annotation,,Op3804,
bll5900,BA000040.2,6485992,6486435,-,bll5900,AAV28_RS26415,hypothetical protein,Carbohydrate transport and metabolism,Q89HT9,Op3805,
bll5902,BA000040.2,6488508,6489512,-,ilvA,AAV28_RS26425,threonine/serine dehydratase,Amino acid transport and metabolism,,Op3807,
bll5903,BA000040.2,6489555,6490628,-,bll5903,AAV28_RS26430,glycosyltransferase family 1 protein,Cell wall/membrane/envelope biogenesis,Q89HT6,Op3808,
bll5904,BA000040.2,6490628,6491440,-,bll5904,AAV28_RS26435,UDP-2%2C3-diacylglucosamine diphosphatase,Function unknown,Q89HT5,Op3808,
bll5905,BA000040.2,6491657,6492457,-,thiD,thiD,bifunctional hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase,Coenzyme transport and metabolism,Q89HT4,Op3809,
bll5908,BA000040.2,6495122,6496045,-,bll5908,AAV28_RS26455,cytochrome c,Energy production and conversion,Q89HT1,Op3812,
bll5911,BA000040.2,6497170,6498453,-,mdeA,AAV28_RS26470,cystathionine gamma-synthase family protein,Amino acid transport and metabolism,Q89HS8,Op3816,
bll5912,BA000040.2,6498602,6499984,-,glyA,AAV28_RS26475,serine hydroxymethyltransferase,Amino acid transport and metabolism,,Op3817,
bll5913,BA000040.2,6500208,6500657,-,cycC,AAV28_RS26480,cytochrome c,Energy production and conversion,Q45234,Op3818,
bll5914,BA000040.2,6500782,6503091,-,bll5914,AAV28_RS26485,xanthine dehydrogenase family protein molybdopterin-binding subunit,Energy production and conversion,Q89HS6,Op3819,
bll5916,BA000040.2,6504593,6506122,-,murJ,murJ,murein biosynthesis integral membrane protein MurJ,Function unknown,Q89HS4,Op120,
bll5917,BA000040.2,6506310,6507503,-,bll5917,AAV28_RS26505,DegT/DnrJ/EryC1/StrS family aminotransferase,Amino acid transport and metabolism,,Op3822,
bll5918,BA000040.2,6507513,6508517,-,bll5918,AAV28_RS26510,Gfo/Idh/MocA family oxidoreductase,Function unknown,Q89HS2,Op3823,
bll5919,BA000040.2,6508703,6510121,-,manC,AAV28_RS26515,mannose-1-phosphate guanylyltransferase/mannose-6-phosphate isomerase,Carbohydrate transport and metabolism,,Op3824,
bll5920,BA000040.2,6510123,6511112,-,lspL,AAV28_RS26520,SDR family NAD(P)-dependent oxidoreductase,Cell wall/membrane/envelope biogenesis,Q89HS0,Op3824,
bll5923,BA000040.2,6513297,6514244,-,bll5923,AAV28_RS26535,NAD-dependent epimerase/dehydratase family protein,Cell wall/membrane/envelope biogenesis,Q89HR7,Op3826,
bll5924,BA000040.2,6514241,6515566,-,bll5924,AAV28_RS26540,glycosyltransferase family 4 protein,Cell wall/membrane/envelope biogenesis,,Op3826,
bll5925,BA000040.2,6515464,6517428,-,bll5925,AAV28_RS26545,SDR family NAD(P)-dependent oxidoreductase,Carbohydrate transport and metabolism,,Op3826,
bll5926,BA000040.2,6517459,6518745,-,bll5926,AAV28_RS26550,O-antigen ligase family protein,Cell wall/membrane/envelope biogenesis,Q89HR4,Op3827,
bll5927,BA000040.2,6518742,6520226,-,rfaE1,rfaE1,D-glycero-beta-D-manno-heptose-7-phosphate kinase,Coenzyme transport and metabolism,Q89HR3,Op3827,
bll5928,BA000040.2,6520239,6521219,-,rfaD,rfaD,ADP-glyceromanno-heptose 6-epimerase,Carbohydrate transport and metabolism,Q89HR2,Op3827,
bll5930,BA000040.2,6522628,6523665,-,lpcC,AAV28_RS26570,glycosyltransferase family 4 protein,Cell wall/membrane/envelope biogenesis,Q89HR0,Op3829,
bll5934,BA000040.2,6527531,6527995,-,bll5934,AAV28_RS26590,nuclear transport factor 2 family protein,Function unknown,,Op3832,
bll5935,BA000040.2,6528002,6528931,-,bll5935,AAV28_RS26595,aspartyl/asparaginyl beta-hydroxylase domain-containing protein,"Post-translational modification, protein turnover, and chaperones",Q89HQ5,Op3832,
bll5936,BA000040.2,6529378,6530301,-,bll5936,AAV28_RS26600,LysR family transcriptional regulator,Transcription,Q89HQ4,Op3834,
bll5940,BA000040.2,6532772,6533419,-,bll5940,AAV28_RS26620,phasin family protein,Function unknown,,Op3837,
bll5941,BA000040.2,6533382,6534044,-,bll5941,AAV28_RS26625,AAA family ATPase,"Cell cycle control, cell division, chromosome partitioning",Q89HP9,Op3837,
bll5942,BA000040.2,6534187,6535653,-,bll5942,AAV28_RS26630,NAD(P)/FAD-dependent oxidoreductase,Inorganic ion transport and metabolism,Q89HP8,Op3838,
bll5943,BA000040.2,6535705,6536124,-,bll5943,AAV28_RS26635,nuclear transport factor 2 family protein,Function unknown,Q89HP7,Op3839,
bll5944,BA000040.2,6536294,6537715,-,ahcY,ahcY,adenosylhomocysteinase,Coenzyme transport and metabolism,Q89HP6,Op3840,
bll5945,BA000040.2,6537839,6539035,-,metK,metK,methionine adenosyltransferase,Coenzyme transport and metabolism,Q89HP5,Op3840,
bll5946,BA000040.2,6539099,6540538,-,bll5946,AAV28_RS26650,hypothetical protein,"Replication, recombination and repair",,Op3841,
bll5948,BA000040.2,6542465,6543583,-,bll5948,AAV28_RS26660,cobalamin-independent methionine synthase II family protein,Amino acid transport and metabolism,Q89HP2,Op3843,
bll5949,BA000040.2,6543605,6544321,-,bll5949,AAV28_RS26665,ABC transporter ATP-binding protein,Amino acid transport and metabolism,Q89HP1,Op3843,
bll5950,BA000040.2,6544314,6545069,-,bll5950,AAV28_RS26670,ABC transporter ATP-binding protein,Amino acid transport and metabolism,Q89HP0,Op3843,
bll5951,BA000040.2,6545066,6546094,-,bll5951,AAV28_RS26675,branched-chain amino acid ABC transporter permease,Amino acid transport and metabolism,Q89HN9,Op3843,
bll5952,BA000040.2,6546103,6546972,-,bll5952,AAV28_RS26680,branched-chain amino acid ABC transporter permease,Amino acid transport and metabolism,Q89HN8,Op3843,
bll5953,BA000040.2,6547170,6548348,-,bll5953,AAV28_RS26685,ABC transporter substrate-binding protein,Amino acid transport and metabolism,Q89HN7,Op3844,
bll5955,BA000040.2,6549323,6550186,-,purU,purU,formyltetrahydrofolate deformylase,Nucleotide transport and metabolism,Q89HN5,Op3846,
bll5957,BA000040.2,6551203,6551883,-,bll5957,AAV28_RS26705,redoxin domain-containing protein,"Post-translational modification, protein turnover, and chaperones",Q89HN3,Op3848,
bll5958,BA000040.2,6551905,6555225,-,bll5958,AAV28_RS26710,adenylate/guanylate cyclase domain-containing protein,Signal transduction mechanisms,Q89HN2,Op3848,
bll5959,BA000040.2,6555222,6555755,-,bll5959,,,No COG annotation,,-,
bll5961,BA000040.2,6556991,6557665,-,bll5961,AAV28_RS26720,Crp/Fnr family transcriptional regulator,Transcription,Q89HM9,Op3850,
bll5968,BA000040.2,6565189,6566385,-,bll5968,AAV28_RS26755,AGE family epimerase/isomerase,Carbohydrate transport and metabolism,,Op3855,
bll5977,BA000040.2,6575114,6576046,-,bll5977,AAV28_RS26800,hypothetical protein,No COG annotation,Q89HL3,Op3858,
bll5978,BA000040.2,6576039,6577283,-,bll5978,AAV28_RS26805,methyltransferase domain-containing protein,Coenzyme transport and metabolism,,Op3858,
bll5979,BA000040.2,6577306,6578382,-,rfbG,rfbG,CDP-glucose 4%2C6-dehydratase,Cell wall/membrane/envelope biogenesis,,Op3858,
bll5980,BA000040.2,6578364,6579134,-,rfbF,rfbF,glucose-1-phosphate cytidylyltransferase,"Translation, ribosomal structure and biogenesis",Q89HL0,Op3858,
bll5982,BA000040.2,6580341,6581564,-,bll5982,AAV28_RS26825,hypothetical protein,No COG annotation,Q89HK8,Op3860,
bll5983,BA000040.2,6581595,6582518,-,bll5983,AAV28_RS26830,hypothetical protein,No COG annotation,,Op3860,
bll5984,BA000040.2,6582530,6583306,-,bll5984,AAV28_RS26835,hypothetical protein,No COG annotation,,Op3861,
bll5993,BA000040.2,6592698,6593309,-,bll5993,AAV28_RS26875,acetyltransferase,Function unknown,Q89HJ7,Op3866,
bll6006,BA000040.2,6606361,6607539,-,bll6006,AAV28_RS26940,glycosyltransferase family 4 protein,Cell wall/membrane/envelope biogenesis,Q89HI5,Op3870,
bll6007,BA000040.2,6607532,6608464,-,galE,AAV28_RS26945,NAD-dependent epimerase/dehydratase family protein,Carbohydrate transport and metabolism,Q89HI4,Op3870,
bll6008,BA000040.2,6608545,6609165,-,bll6008,AAV28_RS26950,acyltransferase,Function unknown,Q89HI3,Op3871,
bll6009,BA000040.2,6609243,6610331,-,bll6009,AAV28_RS26955,glycosyltransferase,Function unknown,Q89HI2,Op3872,
bll6010,BA000040.2,6610335,6612173,-,bll6010,asnB,asparagine synthase (glutamine-hydrolyzing),Amino acid transport and metabolism,Q89HI1,Op3872,
bll6011,BA000040.2,6612177,6613739,-,bll6011,AAV28_RS26965,oligosaccharide flippase family protein,Function unknown,,Op3872,
bll6012,BA000040.2,6613934,6614620,-,bll6012,AAV28_RS26970,hypothetical protein,No COG annotation,Q89HH9,Op3873,
bll6014,BA000040.2,6618530,6619111,-,gspM,gspM,type II secretion system protein GspM,Function unknown,Q89HH7,Op3875,
bll6015,BA000040.2,6619108,6620211,-,bll6015,AAV28_RS26985,PilN domain-containing protein,Cell motility,,Op3875,
bll6016,BA000040.2,6620147,6621061,-,bll6016,AAV28_RS26990,type II secretion system protein GspK,"Intracellular trafficking, secretion, and vesicular transport",Q89HH5,Op3875,
bll6017,BA000040.2,6621058,6621792,-,bll6017,AAV28_RS26995,general secretion pathway protein GspJ,Cell motility,,Op3875,
bll6018,BA000040.2,6622162,6622656,-,bll6018,AAV28_RS27005,prepilin-type N-terminal cleavage/methylation domain-containing protein,Cell motility,Q89HH3,Op3876,
bll6019,BA000040.2,6622619,6623071,-,gspG,gspG,type II secretion system major pseudopilin GspG,Cell motility,Q89HH2,Op3876,
bll6020,BA000040.2,6623119,6624330,-,bll6020,AAV28_RS27015,type II secretion system F family protein,Cell motility,Q89HH1,Op3877,
bll6021,BA000040.2,6624549,6626261,-,tadA,AAV28_RS27020,ATPase%2C T2SS/T4P/T4SS family,Cell motility,,Op3878,
bll6024,BA000040.2,6629621,6630193,-,bll6024,AAV28_RS27035,sel1 repeat family protein,Function unknown,,Op3880,
bll6025,BA000040.2,6630315,6631283,-,bll6025,AAV28_RS27040,right-handed parallel beta-helix repeat-containing protein,Function unknown,,Op3881,
bll6026,BA000040.2,6631240,6632088,-,bll6026,AAV28_RS27045,right-handed parallel beta-helix repeat-containing protein,Function unknown,Q89HG5,Op3882,
bll6027,BA000040.2,6632560,6635094,-,bll6027,AAV28_RS27050,M10 family metallopeptidase C-terminal domain-containing protein,"Post-translational modification, protein turnover, and chaperones",,Op3883,
bll6031,BA000040.2,6637405,6638256,-,bll6031,AAV28_RS27070,peptidase,"Post-translational modification, protein turnover, and chaperones",Q89HG0,Op3887,
bll6032,BA000040.2,6638458,6639975,-,bll6032,AAV28_RS27075,tripartite tricarboxylate transporter permease,Function unknown,Q89HF9,Op3888,
bll6033,BA000040.2,6639988,6640629,-,bll6033,AAV28_RS27080,tripartite tricarboxylate transporter TctB family protein,Function unknown,,Op3888,
bll6034,BA000040.2,6640672,6641658,-,bll6034,AAV28_RS27085,tripartite tricarboxylate transporter substrate-binding protein,Function unknown,,Op3889,
bll6035,BA000040.2,6641853,6645800,-,bll6035,AAV28_RS27090,VCBS domain-containing protein,"Secondary metabolites biosynthesis, transport, and catabolism",,Op3890,
bll6036,BA000040.2,6646290,6647087,-,bll6036,AAV28_RS27095,enoyl-CoA hydratase/isomerase family protein,Lipid transport and metabolism,Q89HF5,Op3891,bll4368
bll6037,BA000040.2,6647129,6648418,-,bll6037,AAV28_RS27100,aminotransferase class V-fold PLP-dependent enzyme,Amino acid transport and metabolism,,Op3892,bll4368
bll6038,BA000040.2,6648446,6649729,-,bll6038,AAV28_RS27105,MFS transporter,Carbohydrate transport and metabolism,Q89HF3,Op3893,bll4368
bll6039,BA000040.2,6649785,6651038,-,bll6039,AAV28_RS27110,alanine--glyoxylate aminotransferase family protein,Amino acid transport and metabolism,Q89HF2,Op3894,bll4368
bll6043,BA000040.2,6655460,6656242,-,bll6043,AAV28_RS27130,enoyl-CoA hydratase/isomerase family protein,Lipid transport and metabolism,Q89HE8,Op3897,
bll6044,BA000040.2,6656367,6658454,-,bll6044,AAV28_RS27135,molybdopterin-dependent oxidoreductase,Energy production and conversion,Q89HE7,Op3898,
bll6050,BA000040.2,6663228,6664460,-,bll6050,AAV28_RS27160,biotin/lipoyl-binding protein,Defense mechanisms,Q89HE1,Op3900,
bll6051,BA000040.2,6664453,6664947,-,bll6051,,,No COG annotation,,-,
bll6055,BA000040.2,6670265,6671071,-,bll6055,AAV28_RS27185,SDR family oxidoreductase,Lipid transport and metabolism,Q89HD7,Op3904,
bll6056,BA000040.2,6671150,6672442,-,bll6056,AAV28_RS27190,TRAP transporter large permease,Carbohydrate transport and metabolism,Q89HD6,Op3905,
bll6057,BA000040.2,6672433,6672981,-,bll6057,AAV28_RS27195,TRAP transporter small permease,Carbohydrate transport and metabolism,Q89HD5,Op3905,
bll6058,BA000040.2,6673046,6674017,-,bll6058,AAV28_RS27200,TRAP transporter substrate-binding protein,Carbohydrate transport and metabolism,Q89HD4,Op3906,
bll6060,BA000040.2,6675422,6676150,-,bll6060,AAV28_RS27210,Crp/Fnr family transcriptional regulator,Transcription,Q89HD2,Op3908,
bll6061,BA000040.2,6676653,6677366,-,fixK,AAV28_RS27215,helix-turn-helix domain-containing protein,Transcription,,Op3909,"FixK,FnrN,AadR"
